,Case,o%,Sample 1,s1%,iou s1,Recall 1,Precision 1,Sample 2,s2%,iou s2,Recall 2,Precision 2,Sample 3,s3%,iou s3,Recall 3,Precision 3
42,00008814_010.png,0.017495155334472656,2,0.06936836242675781,0.24010184075808735,0.961297356227855,0.24244548929032966,2,0.02895355224609375,0.5124836966648034,0.8995911692559281,0.5435770750988143,1,0.08061504364013672,0.2133893187393848,0.986208776233306,0.21402798973157777
43,00009368_006.png,0.058394432067871094,4,0.13986587524414062,0.2603732175768746,0.7013930852019402,0.2928337651711441,4,0.12715530395507812,0.40269056356204086,0.9122176675213536,0.4189241892418924,2,0.007106781005859375,0.12170305890806944,0.12170305890806944,1.0
44,00009437_008.png,0.027545928955078125,5,0.03367137908935547,0.5355229164673238,0.7750657803628306,0.6340668989152293,5,0.016679763793945312,0.40437903152539295,0.4622974657249688,0.7634648370497427,3,0.050022125244140625,0.26300097827606017,0.5863800027696995,0.32290475101044763
45,00009507_004.png,0.029746055603027344,3,0.07076358795166016,0.40225388842320947,0.9692860119906384,0.4074473389846498,5,0.031963348388671875,0.6660744631546424,0.8293738578436087,0.7718403150733978,5,0.04231452941894531,0.6779401314620714,0.9787759289538649,0.6880549921117872
46,00009619_000.png,0.03438758850097656,5,0.02755451202392578,0.7342001975809681,0.7626046924399579,0.9517184093032914,5,0.03291893005371094,0.7070433436532507,0.8106938820788729,0.8468625065183383,2,0.011850357055664062,0.2978905664418032,0.3086138998280548,0.8955416063093513
47,00010060_038.png,0.015598297119140625,2,0.026854515075683594,0.0976993070796242,0.2422352653460504,0.14070101921232997,1,0.2626495361328125,0.04922772633282388,0.836940572267058,0.04970443850578051,1,0.0,0.0,0.0,
48,00010103_014.png,0.054846763610839844,5,0.13912296295166016,0.3293768545994065,0.8762497609153032,0.3454459456680445,3,0.0679779052734375,0.18835003413977006,0.3549407939350733,0.2863776655443322,1,0.0018825531005859375,0.0,0.0,0.0
49,00010277_000.png,0.08602142333984375,3,0.11878013610839844,0.4341812644837281,0.7207649667405766,0.5219831393014853,4,0.06987953186035156,0.7129893536759159,0.7543458980044346,0.9285967737533095,4,0.17849159240722656,0.38125734547120577,0.8487583148558758,0.409046708199314
50,00010381_000.png,0.04702281951904297,3,0.03407764434814453,0.17231872070581747,0.25351369988034156,0.34981669605126914,1,0.0,0.0,0.0,,3,0.15655517578125,0.22661035453657416,0.7998255825744823,0.2402351364522417
51,00010447_018.png,0.054046630859375,3,0.054444313049316406,0.2828258908434822,0.44256422924901184,0.43933157000472944,3,0.031937599182128906,0.4755576649264357,0.5127399774138904,0.8676878975185882,3,0.051326751708984375,0.3103579137117241,0.46178006775832864,0.4862504645113341
52,00010815_006.png,0.050820350646972656,4,0.05375385284423828,0.7152466016987595,0.8580570098894706,0.8112303734587066,4,0.06111621856689453,0.8182296991665892,0.9911989341139823,0.8242178356869783,5,0.03803825378417969,0.7484846778884948,0.7484846778884948,1.0
53,00010936_016.png,0.016846656799316406,2,0.17214107513427734,0.07777318511105794,0.8095103311633173,0.07922306000454286,5,0.01766681671142578,0.7079616782292699,0.8491933201245401,0.8097705802968961,1,0.030664443969726562,0.0,0.0,0.0
54,00011157_001.png,0.05605125427246094,4,0.057956695556640625,0.45564133161240045,0.6366760812604213,0.6157440926742579,5,0.06273746490478516,0.480694705308956,0.6880083029911185,0.6146841985254997,2,0.014776229858398438,0.20402704148630904,0.21412529349712459,0.812249903188331
55,00011237_006.png,0.038001060485839844,3,0.14690303802490234,0.15649269311064717,0.6584184505734434,0.17032050324917716,1,0.0,0.0,0.0,,5,0.06679534912109375,0.3505106492804208,0.7157376966898387,0.40719588806396345
56,00011269_019.png,0.0031957626342773438,1,0.07581138610839844,0.0,0.0,0.0,3,0.015074729919433594,0.2119946858986525,1.0,0.2119946858986525,1,0.05780982971191406,0.0,0.0,0.0
57,00011355_011.png,0.03766345977783203,4,0.04655265808105469,0.4006979141882782,0.63965766085129,0.5175154668742574,5,0.2063140869140625,0.17755714509284065,0.9767553743701416,0.17831059093262333,3,0.18615245819091797,0.1793307571318737,0.9036284911250095,0.18282742898127513
58,00011450_000.png,0.04753875732421875,4,0.02486419677734375,0.4721451978825309,0.4884649333975285,0.9339137772322799,4,0.032550811767578125,0.5970941178707947,0.6298547584657358,0.9198699167936247,3,0.009158134460449219,0.1872628509805488,0.18811186005456587,0.976465687805894
59,00011502_001.png,0.0,5,0.0,,,,1,0.14879608154296875,0.0,,0.0,1,0.1340494155883789,0.0,,0.0
